,date,open,high,low,close,tick_volume,spread,real_volume
4066,2017-08-22,140.549,141.04,140.06,140.483,347227,0,347230
4067,2017-08-23,140.463,140.794,139.437,139.545,387209,0,387208
4068,2017-08-24,139.536,140.444,139.296,140.218,360318,0,360317
4069,2017-08-25,140.206,140.849,140.122,140.777,420711,0,420714
4070,2017-08-28,141.02,141.416,140.438,141.294,321911,0,321919
4071,2017-08-29,141.239,142.0,140.013,141.787,558315,0,558599
4072,2017-08-30,141.694,142.778,141.563,142.463,412306,0,412305
4073,2017-08-31,142.443,142.903,141.548,142.212,463429,0,463428
4074,2017-09-01,142.178,143.023,141.855,142.823,397609,0,397613
4075,2017-09-04,141.927,142.499,141.583,141.859,320857,0,320857
4076,2017-09-05,141.833,141.932,141.192,141.798,460297,0,460404
4077,2017-09-06,141.757,142.685,141.369,142.485,450754,0,450753
4078,2017-09-07,142.383,142.68,141.488,142.095,462838,0,462854
4079,2017-09-08,142.025,142.548,141.344,142.287,501748,0,501759
4080,2017-09-11,142.568,144.177,142.498,143.982,389627,0,389647
4081,2017-09-12,143.939,146.54,143.889,146.327,420976,0,421019
4082,2017-09-13,146.306,146.663,145.649,145.946,402196,0,402203
4083,2017-09-14,145.91,148.345,145.152,147.666,439225,0,439244
4084,2017-09-15,147.658,151.546,146.618,150.597,488879,0,488882
4085,2017-09-18,150.558,151.515,150.144,150.586,408049,0,408049
4086,2017-09-19,150.549,151.59,150.134,150.792,476060,0,476068
4087,2017-09-20,150.666,152.166,150.447,151.382,465817,0,465817
4088,2017-09-21,151.385,152.858,151.372,152.774,462575,0,462575
4089,2017-09-22,152.679,152.776,150.679,151.136,445361,0,445361
4090,2017-09-25,151.193,152.27,149.75,150.482,462489,0,462521
4091,2017-09-26,150.408,151.074,149.987,151.05,455903,0,455902
4092,2017-09-27,151.02,151.605,150.528,151.01,509077,0,509076
4093,2017-09-28,150.98,151.578,150.468,151.001,485368,0,485367
4094,2017-09-29,150.942,151.284,150.201,150.697,437081,0,437080
4095,2017-10-02,150.516,150.968,149.279,149.708,405761,0,405769
4096,2017-10-03,149.632,150.24,149.29,149.392,416467,0,416466
